plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8641, -1, 282.0, -41.0, 999, 0, 3, 0.0, NOT,OBSERVED
8642, -1, 272.5, -35.0, 999, 0, 3, 0.0, NOT,OBSERVED
8643, -1, 274.5, -38.0, 999, 0, 3, 0.0, NOT,OBSERVED
8644, -1, 266.75, -31.5, 999, 0, 3, 0.0, NOT,OBSERVED
8645, -1, 282.0, -41.0, 999, 0, 3, 0.0, NOT,OBSERVED
8646, -1, 272.5, -35.0, 999, 0, 3, 0.0, NOT,OBSERVED
8647, -1, 274.5, -38.0, 999, 0, 3, 0.0, NOT,OBSERVED
8648, -1, 266.75, -31.5, 999, 0, 3, 0.0, NOT,OBSERVED
8649, -1, 282.0, -41.0, 999, 0, 3, 0.0, NOT,OBSERVED
8650, -1, 282.0, -41.0, 999, 0, 3, 0.0, NOT,OBSERVED
8770, -1, 15.0, -40.0, 999, 0, 3, 0.0, NOT,OBSERVED
8771, -1, 10.0, -22.0, 999, 0, 3, 0.0, NOT,OBSERVED
8772, -1, 15.0, -45.0, 999, 0, 3, 0.0, NOT,OBSERVED
8783, 5157, 300.4407, -40.3162, -100, 0, 1, 0.0, NOT,OBSERVED
8784, 5158, 273.4442, -43.4526, -100, 0, 1, 0.0, NOT,OBSERVED
8785, 5042, 354.8611, 30.3525, -100, 0, 1, 0.0, NOT,OBSERVED
8786, 5110, 322.493, 12.1671, -100, 0, 1, 0.0, NOT,OBSERVED
8787, 5157, 300.4407, -40.3162, -100, 0, 1, 0.0, NOT,OBSERVED
9052, -1, 168.75, -29.0, 999, 0, 3, 0.0, NOT,OBSERVED
9053, -1, 164.5, -20.25, 999, 0, 3, 0.0, NOT,OBSERVED
9054, -1, 172.5, 10.0, 999, 0, 3, 0.0, NOT,OBSERVED
9055, -1, 292.5, -60.0, 999, 0, 3, 0.0, NOT,OBSERVED
9056, -1, 168.75, -29.0, 999, 0, 3, 0.0, NOT,OBSERVED
9057, -1, 164.5, -20.25, 999, 0, 3, 0.0, NOT,OBSERVED
9058, -1, 172.5, 10.0, 999, 0, 3, 0.0, NOT,OBSERVED
9059, -1, 292.5, -60.0, 999, 0, 3, 0.0, NOT,OBSERVED
9060, -1, 168.75, -29.0, 999, 0, 3, 0.0, NOT,OBSERVED
9061, -1, 164.5, -20.25, 999, 0, 3, 0.0, NOT,OBSERVED
9100, -1, 240.0, -35.0, 110, 0, 3, 0.0, NOT,OBSERVED
9101, -1, 216.0, -21.333, 210, 0, 3, 0.0, NOT,OBSERVED
9102, -1, 225.0, 15.0, 320, 0, 3, 0.0, NOT,OBSERVED
9103, -1, 345.0, -60.0, 420, 0, 3, 0.0, NOT,OBSERVED
9104, -1, 240.0, -35.0, 110, 0, 3, 0.0, NOT,OBSERVED
9105, -1, 216.0, -21.333, 210, 0, 3, 0.0, NOT,OBSERVED
9106, -1, 225.0, 15.0, 100, 0, 1, 0.0, NOT,OBSERVED
9107, -1, 345.0, -60.0, 100, 0, 3, 0.0, NOT,OBSERVED
9108, -1, 240.0, -35.0, 210, 0, 3, 0.0, NOT,OBSERVED
9109, -1, 216.0, -21.333, 210, 0, 3, 0.0, NOT,OBSERVED
9136, 5206, 240.3244, -36.8568, -100, 0, 1, 0.0, NOT,OBSERVED
9137, 5207, 356.0131, -26.8867, -100, 0, 1, 0.0, NOT,OBSERVED
