plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
7519, 5026, 266.2236, -5.7401, 110, 4, 3, 16833.5711, 57154,57151,57116,57143,
7520, 5027, 290.1238, -12.4117, 110, 3, 3, 10555.6616, 57153,56931,57142,
7521, 5028, 268.5792, -1.4513, 110, 3, 3, 9860.8433, 57112,57092,57119,
7522, 5029, 283.3466, 0.9506, 110, 3, 3, 14325.6059, 57148,56910,56903,
7523, 5029, 283.3466, 0.9506, 210, 4, 3, 13102.6998, 56904,57152,57171,57149,
7524, 5030, 301.0295, 8.4035, 110, 3, 3, 11615.3754, 56904,57204,57175,
7525, 5030, 301.0295, 8.4035, 210, 4, 3, 13514.2083, 57256,57264,57267,57205,
7526, 5031, 290.3419, 14.2605, 110, 3, 3, 15191.8106, 57144,57153,56934,
7527, 5032, 279.1106, 19.6183, 110, 4, 3, 11917.6756, 57096,57112,57115,57094,
7528, 5032, 279.1106, 19.6183, 210, 3, 3, 9376.4393, 57113,57116,57118,
7529, 5033, 309.2214, 20.7593, 110, 3, 3, 14623.5895, 56936,56968,56939,
7530, 5034, 298.221, 27.3409, 110, 3, 3, 12820.6142, 56938,57202,56935,
7531, 5034, 298.221, 27.3409, 210, 3, 3, 14719.2059, 56936,56939,57204,
7532, 5035, 285.943, 32.9599, 110, 3, 3, 13226.9254, 57122,57115,57143,
7533, 5036, 330.6823, 16.7635, 100, 4, 3, 13008.6729, 57292,57271,57260,56903,
7534, 5037, 308.1882, 39.8618, 110, 3, 3, 10106.133, 56937,56962,56934,
7535, 5038, 4.5101, -14.3067, 100, 4, 3, 12922.9828, 57347,57321,57323,57294,
7536, 5039, 322.3797, 51.1611, 110, 3, 3, 11502.7884, 56961,56932,56903,
7537, 5039, 322.3797, 51.1611, 210, 3, 3, 11977.1045, 56904,56962,57174,
7538, 5040, 340.2536, 44.9861, 110, 3, 3, 13953.0726, 56936,56961,56933,
7539, 5041, 313.497, 63.7074, 110, 3, 3, 14403.178, 56931,56910,56902,
7540, 5042, 354.8611, 30.3525, 100, 3, 3, 10728.9718, 57000,57027,56997,
7541, 5043, 351.9968, 48.6013, 110, 3, 3, 14588.682, 56968,56972,
7542, 5044, 329.3235, 70.007, 110, 3, 3, 16261.3713, 56904,56934,56910,
7543, 5045, 357.9301, 62.0653, 110, 3, 3, 13626.5698, 56944,56992,56938,
7544, 5045, 357.9301, 62.0653, 210, 3, 3, 10652.5082, 56993,56939,56997,56999,
7545, 5046, 1.9835, 74.6235, 100, 3, 3, 15184.9935, 56936,56971,56933,
7546, 5046, 1.9835, 74.6235, 200, 3, 3, 13709.3588, 56937,56934,56991,
7547, 5047, 355.7547, 80.4798, 100, 4, 3, 14025.9542, 56961,56932,56990,56935,
7548, 5048, 16.0625, 50.8202, 100, 3, 3, 15740.1904, 56944,56995,57021,
7549, 5001, 289.5332, 50.8338, 100, 1, 1, 5688.3435, 56848,
7550, 5002, 285.9041, 49.1962, 100, 2, 1, 8098.1344, 56848,56850,
7551, 5003, 282.5456, 47.4204, 100, 3, 1, 6007.5388, 57096,57114,57094,
7552, 5004, 295.6957, 49.9017, 200, 1, 1, 5657.5745, 56848,
7553, 5005, 291.9041, 48.4365, 100, 1, 1, 6002.3549, 56850,
7554, 5006, 288.4125, 46.8752, 200, 1, 1, 4710.1226, 56850,
7555, 5007, 285.0706, 45.213, 200, 1, 1, 3667.5747, 56938,
7556, 5008, 281.9166, 43.4529, 100, 1, 1, 4325.353, 56937,
7557, 5009, 297.4999, 47.3985, 100, 2, 1, 5494.0392, 56849,57503,
7558, 5010, 294.1249, 46.0047, 100, 20, 18, 85865.2408, 57264,57707,56931,57293,
7559, 5010, 294.1249, 46.0047, 200, 2, 1, 4644.8557, 57203,57204,
7560, 5011, 290.6749, 44.4662, 100, 1, 1, 5601.8334, 56849,56933,
7561, 5021, 291.5541, 38.1605, 100, 20, 18, 87524.8754, 56932,57701,57319,57672,57643,57294,57265,57266,
7566, 1784, 255.816605, 25.741442, 100, 0, 3, 0.0, NOT,OBSERVED
7567, 1792, 253.578079, 20.342878, 100, 0, 3, 0.0, NOT,OBSERVED
7568, 1832, 322.56015, 11.221107, 100, 0, 3, 0.0, NOT,OBSERVED
7569, 5032, 279.1106, 19.6183, 110, 4, 3, 11917.6756, NOT,OBSERVED
7570, 5043, 351.9968, 48.6013, 110, 3, 3, 14588.682, 56910,
7571, 5044, 329.3235, 70.007, 110, 3, 3, 16261.3713, NOT,OBSERVED
